start	end	text
152480	158480	оперативно локализовывать возгорания и по возможности сохранять в целостности товары наших продавцов.
158480	162480	При этом надо понимать, что БПЛА, которые бьют по промышленным объектам,
162480	166480	нефтеперерабатывающим заводам или складам маркетплейсов,
166480	171480	несут поражающие элементы, чтобы пострадало как можно больше людей.
171480	174480	Террористические атаки на наши склады являются обстоятельствами,
175080	176480	непреодолимой силой.
176480	181080	Внесение или невнесение этого пункта в оферты не имеет значения,
181080	184480	поэтому эти потери по закону не подлежат возмещению.
184480	188480	К сожалению, на просторах интернета появилось много мошенников и юристов,
188480	192480	которые хотят нажиться на наши с вами общие беде,
192480	197480	пользуются ситуацией и незнанием людей, предлагают свои услуги для решения проблем.
197480	201480	Поэтому я обращаюсь ко всем нашим продавцам.
201480	203480	Уважаемые партнеры!
203480	209480	Смотрите только официальным каналам коммуникаций нашей компании и государству.
209480	214480	В текущей ситуации помочь вам можем только мы и государство.
214480	217480	Рассказываю, какие меры мы предпринимаем сейчас.
217480	221480	Мы выступили как проводник интересов малого и среднего бизнеса
221480	227480	и уже обсудили с правительством страны комплексные меры поддержки всем пострадавшим предпринимателям.
227480	231480	В настоящее время разрабатывается общая система,
231480	233480	по которой помощь получит каждый.
233480	237480	В ближайшие дни набор этих мер будет озвучен.
237480	243480	Пока система разрабатывается, мы провели уже два транша поддерживающих выплат продавцам,
243480	245480	чьи товары пострадали в результате атак.
245480	251480	Во вторую волну попало почти 100 тысяч представителей малого и среднего бизнеса,
251480	254480	многие из которых уже получили начисления.
254480	260480	Для наших более крупных партнеров мы ввели повышенную скидку постоянного покупателя на их товар за наш счет,
260480	262480	кредитные каникулы в нашем банке,
262480	264480	и ряд иных мер поддержки.
264480	271480	Со следующей недели мы планируем проводить очные встречи с предпринимателями в наиболее пострадавших регионах,
271480	276480	чтобы точечно решать их актуальные проблемы, появившиеся на фоне ситуации.
276480	283480	Я уже говорила, что мы сейчас максимально оперативно перестраиваем свою логистическую инфраструктуру,
283480	287480	распределяем потоки по различным логистическим объектам,
287480	291480	чтобы сохранить скорость доставки и оборачиваемость товаров наших партнеров.
292480	298480	В целях безопасности детали раскрыть не могу, но будьте уверены, мы делаем все возможное для этого.
298480	303480	Никогда вас не подводили и всегда находили решение любой проблемы,
303480	308480	и я не вижу причин, почему текущая ситуация должна стать исключением.
308480	315480	У нас десятки предложений по аренде логистических мощностей на территории России и за ее пределами.
315480	318480	Часть договоров уже заключена.
318480	322480	Помимо этого, скоро мы запустим в эксплуатацию наши объекты,
322480	325480	которые строили в других странах нашего присутствия.
325480	331480	Совершая удары по нам, террористы прикрывают истинные причины и обвиняют нас в том,
331480	334480	что мы якобы продаем товары военного назначения.
334480	342480	Но вы можете открыть любой мировой маркетплейс Amazon или Alibaba и посмотреть, есть ли у нас то, чего нет у них.
342480	348480	Никакой логики и здравого смысла, рациональности в действиях террористов нет и не может быть.
348480	351480	Противник сам сделал публичное заявление о том,
352480	355480	что атаки на Wildberries направлены на обычных граждан.
355480	363480	Единственная их цель – оказать давление, дестабилизировать, вызвать панику и шок у большого количества людей.
363480	370480	Единственное, что можно сейчас сделать, это с холодной головой всем нам, предпринимательскому сообществу России,
370480	375480	иметь план пересборки на ближайшее время, адаптироваться и трансформироваться.
375480	379480	Мы, предприниматели, умеем это делать, как никто другой.
379480	381480	Мы видим, что ситуация сплотила всех.
382480	390480	И предприниматели, и покупатели, и бизнес-сообщества, и представители региональных властей объединяются, чтобы вместе решить проблему.
390480	395480	Мы сделаем все, чтобы помочь бизнесу справиться с этой непростой ситуацией.
395480	397480	Я благодарю всех за поддержку.
397480	399480	Вместе мы сильнее.
399480	402480	Потому что Wildberries – это и есть вы.
